Hymnal,Number,Name,TranslationNumber_HymnalE
E,E320,I live by grace and kindness,
E,E321,I stood at mercys gate,
E,E322,I want a principle within,
E,E323,In Jesus I have found salvation,
E,E324,In Your grace,
E,E325,I've found a place I love so well,
E,E326,I've found the spring of blessing,
E,E327,Jesus paid it all,
E,E328,Jesus sinners does receive,
E,E329,Jesus, what a Friend for sinners,
E,E33,All people that on earth do dwell,
E,E330,Just as I am,
E,E331,O boundless joy, there is salvation!,
E,E332,O happy day,
E,E333,Pass me not, O gentle Saviour,
E,E334,Search me, O God,
E,E335,The great Physician,
E,E336,There is a fountain,
E,E337,Theres a wideness in Gods mercy,
E,E338,This is a day of new beginnings,
E,E339,What a sea of grace,
E,E34,Come, Christians, join to sing,
E,E340,With contrite heart I come to Thee,
E,E341,Grant us, Lord, due preparation,
E,E342,Host and King of grace,
E,E343,Let us break bread together,
E,E344,A river keeps the pastures green,
E,E345,Beautiful, glorious moment,
E,E346,Blessed is the peace to my heart,
E,E347,Come, share the Lord,
E,E348,From Jesus love, the fountain pure,
E,E349,How sacred, holy is this place,
E,E35,Come, ye thankful people, come,
E,E350,I found a place of peace and rest,
E,E351,I will remember Thee,
E,E352,I'm reconciled by mercy,
E,E353,I'm resting now at Jesus feet,
E,E354,Neath my Saviours wings abiding,
E,E355,O how blessed are the people,
E,E356,Purest fount of love is flowing,
E,E357,Redeemed, I am blessed in Jesus,
E,E358,Redeemed, I am blessed in Jesus,
E,E359,Sweetest bread of heaven,
E,E36,For the beauty of the earth,
E,E360,What joy tis redeemed to be,
E,E361,With pure delight and bliss overflowing,
E,E362,A miracle of love,
E,E363,A wonderful Saviour is Jesus,
E,E364,Behold, O how pleasant,
E,E365,Come, everyone, and join our song,
E,E366,Dear brothers and dear sisters,
E,E367,Hark, my soul,
E,E368,Heart with heart in love united,
E,E369,Help us to help each other,
E,E37,For the fruits of all creation,
E,E370,His love,
E,E371,How blessed and glorious with Jesus,
E,E372,I fare so well with You,
E,E373,I have found a Friend in Jesus,
E,E374,I heard the voice of Jesus say,
E,E375,I know a heart I call my own,
E,E376,I praise Gods love in adoration,
E,E377,I Christ there is no east or west,
E,E378,In the garden,
E,E379,Into pastures green and fair,
E,E38,Give thanks,
E,E380,Jesus loves me,
E,E381,Jesus, Lord, we look to Thee,
E,E382,Jesus, my truest Friend,
E,E383,Jesus, the very thought of Thee,
E,E384,Lord, more would I love Thee,
